lat,lon,pop,dist
40.5792,-74.2125,340,26.62888251848
40.5792,-74.1958,22,25.422076540787906
40.5792,-74.1875,10,24.83018950122819
40.5792,-74.1792,1,24.244086886477568
40.5792,-74.1708,530,23.657309115453792
40.5792,-74.1625,4187,23.08418599101817
40.5792,-74.1542,1518,22.518261814403644
40.5792,-74.1458,49,21.953473160751134
40.5792,-74.1375,296,21.403770404540815
40.5792,-74.1292,1434,20.863591482861434
40.5792,-74.1208,1432,20.32589751108756
40.5792,-74.1125,1863,19.806117490925782
40.5792,-74.1042,3356,19.297251996520885
40.5792,-74.0958,2792,18.794855218879498
40.5792,-74.0875,1860,18.311803871748467
40.5792,-74.0792,485,17.843173627655535
40.5792,-74.0708,10,17.384816409192588
40.5792,-74.0125,1089,14.759551457321576
40.5792,-74.0042,5130,14.483547339453668
40.5792,-73.9958,4016,14.233419045851981
40.5792,-73.9875,4510,14.017529181763676
40.5792,-73.9792,4494,13.833548934854557
40.5792,-73.9708,15301,13.681394823904375
40.5792,-73.9625,14171,13.565782432997832
40.5792,-73.9542,10278,13.485601536597741
40.5792,-73.9458,1506,13.441178873086564
40.5792,-73.9375,6585,13.433920586145772
40.5792,-73.9292,1465,13.463144590737807
40.5792,-73.8875,1,14.143941575052663
40.5792,-73.8625,252,14.939335797707953
40.5792,-73.8542,2177,15.258899811189147
40.5792,-73.8458,3525,15.607637880792984
40.5792,-73.8375,3993,15.975686702260111
40.5792,-73.8292,1986,16.36544767051762
40.5792,-73.8208,1469,16.780422068781128
40.5792,-73.6958,13,24.596411603326896
40.5792,-73.6875,1,25.186047644061897
40.5792,-73.6542,78,27.603726318837964
40.5792,-73.6458,136,28.2250224258448
40.5875,-74.2875,2135,31.876139833288683
40.5875,-74.2792,2518,31.233180437478065
40.5875,-74.2708,2989,30.585104665943867
40.5875,-74.2625,244,29.94738009548845
40.5875,-74.2542,153,29.313096546352558
40.5875,-74.2458,179,28.673167400039052
40.5875,-74.2375,812,28.045221498814488
40.5875,-74.2292,1592,27.42017746938847
40.5875,-74.2208,1900,26.79145782707727
40.5875,-74.2125,238,26.174177686757123
40.5875,-74.2042,5,25.561180004819672
40.5875,-74.1958,85,24.945540085868554
40.5875,-74.1875,773,24.342144505399506
40.5875,-74.1708,283,23.14469757418159
40.5875,-74.1625,4102,22.558628526892967
40.5875,-74.1542,4402,21.97924926762486
40.5875,-74.1458,1380,21.400312763238517
40.5875,-74.1375,12,20.836092484226832
40.5875,-74.1292,134,20.280869004293493
40.5875,-74.1208,7,19.727368251963863
40.5875,-74.1125,227,19.191451982763223
40.5875,-74.1042,2361,18.665903272037088
40.5875,-74.0958,3012,18.14610067571876
40.5875,-74.0875,3808,17.645361263565203
40.5875,-74.0792,864,17.158600246727893
40.5875,-74.0708,873,16.681503655742127
40.5875,-74.0625,139,16.226676865751994
40.5875,-73.9958,739,13.365751568811687
40.5875,-73.9875,6193,13.135637748834721
