Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Year,Value (million US)
G23,Andean Community,OAF,Other Africa,AGFO,Food,X,2015,150
G23,Andean Community,JP,Japan,AG,Agricultural products,X,2015,671
G23,Andean Community,OAF,Other Africa,MAIS,Iron and steel,M,2015,0
G23,Andean Community,OAF,Other Africa,AGRA,Raw materials,M,2015,9
G23,Andean Community,JP,Japan,MINF,-Non--ferrous metals-,X,2015,53
G23,Andean Community,JP,Japan,MAIS,Iron and steel,X,2015,25
G23,Andean Community,OAF,Other Africa,AGRA,Raw materials,X,2015,2
G23,Andean Community,OAF,Other Africa,MACH,Chemicals,M,2015,23
G23,Andean Community,JP,Japan,MACH,Chemicals,X,2015,24
G23,Andean Community,OAF,Other Africa,MINF,-Non--ferrous metals-,X,2015,12
G23,Andean Community,OAF,Other Africa,AGFO,Food,M,2015,15
G23,Andean Community,OAF,Other Africa,AGFOOF,Other food products,M,2015,13
G23,Andean Community,OAF,Other Africa,MIFU,Fuels,M,2015,79
G23,Andean Community,OAF,Other Africa,MAIS,Iron and steel,X,2015,0
G23,Andean Community,OAF,Other Africa,AG,Agricultural products,M,2015,25
G23,Andean Community,OAF,Other Africa,MIOR,Ores and other minerals,M,2015,25
G23,Andean Community,OAF,Other Africa,AGFOOF,Other food products,X,2015,129
G23,Andean Community,NI4,Four East Asian traders,MACH,Chemicals,M,2015,1024
G23,Andean Community,NI4,Four East Asian traders,MACH,Chemicals,X,2015,23
G23,Andean Community,CN,China,MINF,-Non--ferrous metals-,X,2015,929
G23,Andean Community,NI4,Four East Asian traders,MACHOC,Other chemicals,X,2015,22
G23,Andean Community,EUR,Europe,AGFO,Food,X,2015,7035
G23,Andean Community,NI4,Four East Asian traders,MAIS,Iron and steel,X,2015,61
G23,Andean Community,NI4,Four East Asian traders,AG,Agricultural products,M,2015,84
G23,Andean Community,EUR,Europe,AGFOOF,Other food products,M,2015,743
G23,Andean Community,NI4,Four East Asian traders,AGFOOF,Other food products,X,2015,345
G23,Andean Community,NI4,Four East Asian traders,AGFO,Food,X,2015,496
G23,Andean Community,EUR,Europe,MI,Fuels and mining products,M,2015,719
G23,Andean Community,MEA,Middle East,AGFOOF,Other food products,X,2015,252
G23,Andean Community,MEA,Middle East,MACH,Chemicals,M,2015,318
G23,Andean Community,CN,China,MACH,Chemicals,X,2015,44
G23,Andean Community,MEA,Middle East,AG,Agricultural products,M,2015,9
G23,Andean Community,CN,China,MACH,Chemicals,M,2015,2290
G23,Andean Community,MEA,Middle East,AG,Agricultural products,X,2015,287
G23,Andean Community,GXT,-Extra--trade-,MIFU,Fuels,M,2015,13107
G23,Andean Community,CN,China,AGFOOF,Other food products,M,2015,164
G23,Andean Community,MEA,Middle East,AGRA,Raw materials,M,2015,7
G23,Andean Community,CN,China,MIFU,Fuels,X,2015,2140
G23,Andean Community,MEA,Middle East,AGRA,Raw materials,X,2015,29
G23,Andean Community,MEA,Middle East,MAIS,Iron and steel,X,2015,1
G23,Andean Community,GXT,-Extra--trade-,MIFU,Fuels,X,2015,30168
G23,Andean Community,CN,China,AGFO,Food,M,2015,189
G23,Andean Community,CN,China,MAIS,Iron and steel,X,2015,215
G23,Andean Community,CN,China,MAIS,Iron and steel,M,2015,1690
G23,Andean Community,CN,China,AGFOOF,Other food products,X,2015,1190
G23,Andean Community,MEA,Middle East,MAIS,Iron and steel,M,2015,11
G23,Andean Community,CN,China,AG,Agricultural products,X,2015,1709
G23,Andean Community,MEA,Middle East,MINF,-Non--ferrous metals-,X,2015,11
G23,Andean Community,MEA,Middle East,AGFO,Food,X,2015,258
G23,Andean Community,CN,China,MACHOC,Other chemicals,M,2015,2044
G23,Andean Community,MEA,Middle East,MACHOC,Other chemicals,X,2015,8
G23,Andean Community,CN,China,AG,Agricultural products,M,2015,257
G23,Andean Community,CN,China,MI,Fuels and mining products,X,2015,8763
G23,Andean Community,MEA,Middle East,MIFU,Fuels,X,2015,260
