DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
PINE RESTAURANT,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",25,QUEENS,3710,114 STREET,11368,"3710 114 STREET, QUEENS, New York City, 11368",40.7545246 -73.85418449999997
GOLDEN CORNER NOODLES,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",78,QUEENS,4215,COLLEGE POINT BOULEVARD,11355,"4215 COLLEGE POINT BOULEVARD, QUEENS, New York City, 11355",40.7541649 -73.83276180000001
PEACOCK RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,45,BRONX,70,WEST  183 STREET,10453,"70 WEST  183 STREET, BRONX, New York City, 10453",40.8591804 -73.90657049999999
MY FAMILY PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,STATEN ISLAND,340,VICTORY BOULEVARD,10301,"340 VICTORY BOULEVARD, STATEN ISLAND, New York City, 10301",40.6337868 -74.08559209999999
METATE MEXICAN RESTAURANT,Mexican,04M,Live roaches present in facility's food and/or non-food areas.,49,BRONX,3515,JOHNSON AVENUE,10463,"3515 JOHNSON AVENUE, BRONX, New York City, 10463",40.8860757 -73.91008349999998
PITA PAN,Greek,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",41,QUEENS,3715,30 AVENUE,11103,"3715 30 AVENUE, QUEENS, New York City, 11103",40.7645471 -73.91579250000001
ALLERTON DINER,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,BRONX,772,ALLERTON AVE,10467,"772 ALLERTON AVE, BRONX, New York City, 10467",40.865247 -73.8646104
WASABI RESTAURANT,Japanese,04M,Live roaches present in facility's food and/or non-food areas.,42,BROOKLYN,7222,18 AVENUE,11204,"7222 18 AVENUE, BROOKLYN, New York City, 11204",40.61480410000001 -73.99485729999998
KASHMIR,Middle Eastern,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",49,MANHATTAN,478,9TH AVE,10018,"478 9TH AVE, MANHATTAN, New York City, 10018",40.7549783 -73.99485119999997
DIVIERA DRIVE,Italian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",47,BROOKLYN,131,BERRY ST,11249,"131 BERRY ST, BROOKLYN, New York City, 11249",40.718322 -73.958976
NEW GOOD TASTE CHINESE RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,58,MANHATTAN,3371,BROADWAY,10031,"3371 BROADWAY, MANHATTAN, New York City, 10031",40.8212513 -73.95459879999999
2 BROS PIZZA/JUICE SHOP,Salads,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,MANHATTAN,113,E 125TH ST,10035,"113 E 125TH ST, MANHATTAN, New York City, 10035",40.80487979999999 -73.93815080000002
CHINA WOK II,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,QUEENS,10315,101 AVENUE,11416,"10315 101 AVENUE, QUEENS, New York City, 11416",40.6863194 -73.83943260000001
MIN JIANG MINI CAFE,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,42,MANHATTAN,67,ELDRIDGE ST,10002,"67 ELDRIDGE ST, MANHATTAN, New York City, 10002",40.7167653 -73.99290150000002
COFFEE SHOP ON 8TH AVE,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",54,BROOKLYN,5408,8TH AVE,11220,"5408 8TH AVE, BROOKLYN, New York City, 11220",40.6387715 -74.00648769999998
JAVA DAY CAFE,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,QUEENS,16009,NORTHERN BOULEVARD,11358,"16009 NORTHERN BOULEVARD, QUEENS, New York City, 11358",40.7629702 -73.80513350000001
GOLDEN PHOENIX CHINESE RESTAURANT,Chinese,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",61,BRONX,5646,RIVERDALE AVE,10471,"5646 RIVERDALE AVE, BRONX, New York City, 10471",40.9056123 -73.90418840000001
DHAKA RESTAURANT,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,QUEENS,16832,HILLSIDE AVE,11432,"16832 HILLSIDE AVE, QUEENS, New York City, 11432",40.7102647 -73.7935855
IL FORNO OF BROOKLYN,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,51,STATEN ISLAND,6382,AMBOY ROAD,10309,"6382 AMBOY ROAD, STATEN ISLAND, New York City, 10309",40.5221739 -74.21654409999996
KIIN THAI EATERY,Thai,04M,Live roaches present in facility's food and/or non-food areas.,58,MANHATTAN,36,EAST    8 STREET,10003,"36 EAST    8 STREET, MANHATTAN, New York City, 10003",40.7313763 -73.99465570000001
PINE COURT CHINESE BISTRO,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,QUEENS,24932,HORACE HARDING EXPRESSWAY,11362,"24932 HORACE HARDING EXPRESSWAY, QUEENS, New York City, 11362",40.7607048 -73.73053649999997
EASTEND BAR & GRILL,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,MANHATTAN,1664,1 AVENUE,10028,"1664 1 AVENUE, MANHATTAN, New York City, 10028",40.7772838 -73.94875079999997
HAPPY KARAOKE,Korean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,QUEENS,16030,NORTHERN BOULEVARD,11358,"16030 NORTHERN BOULEVARD, QUEENS, New York City, 11358",40.7622508 -73.80461550000001
MADE FRESH DAILY,Caf̩/Coffee/Tea,04M,Live roaches present in facility's food and/or non-food areas.,7,MANHATTAN,226,FRONT STREET,10038,"226 FRONT STREET, MANHATTAN, New York City, 10038",40.7076832 -74.00219820000001
AKAMI SUSHI,Japanese,04M,Live roaches present in facility's food and/or non-food areas.,37,MANHATTAN,1771,1ST AVE,10128,"1771 1ST AVE, MANHATTAN, New York City, 10128",40.780568 -73.94708300000002
URBAN RUSTIC,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,BROOKLYN,236,NORTH   12 STREET,11211,"236 NORTH   12 STREET, BROOKLYN, New York City, 11211",40.7191413 -73.95281190000003
EAST PACIFIC PAN ASIAN BISTRO,Asian,04M,Live roaches present in facility's food and/or non-food areas.,63,MANHATTAN,120,EAST   34 STREET,10016,"120 EAST   34 STREET, MANHATTAN, New York City, 10016",40.7464441 -73.98020220000001
"Bagels By Day, Tacos By Night",American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",63,STATEN ISLAND,570,BAY STREET,10304,"570 BAY STREET, STATEN ISLAND, New York City, 10304",40.6279519 -74.07660950000002
HUA JI PORK CHOP FAST FOOD,Chinese,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",71,MANHATTAN,7,ALLEN ST,10002,"7 ALLEN ST, MANHATTAN, New York City, 10002",40.7148068 -73.9930961
REYES RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,10,QUEENS,4754,46 STREET,11377,"4754 46 STREET, QUEENS, New York City, 11377",40.7396178 -73.91951799999998
LA CASA DEL SABOR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,36,BRONX,2728,E TREMONT AVE,10461,"2728 E TREMONT AVE, BRONX, New York City, 10461",40.8421039 -73.8450719
MI ESTRELLA RESTAURANT,Chinese/Cuban,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,QUEENS,8819,ROOSEVELT AVENUE,11372,"8819 ROOSEVELT AVENUE, QUEENS, New York City, 11372",40.748492 -73.8776388
NEW GOOD TASTE CHINESE RESTAURANT,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",58,MANHATTAN,3371,BROADWAY,10031,"3371 BROADWAY, MANHATTAN, New York City, 10031",40.8212513 -73.95459879999999
CARIBBEAN DELIGHTS,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,67,QUEENS,21521,JAMAICA AVE,11428,"21521 JAMAICA AVE, QUEENS, New York City, 11428",40.7174912 -73.74008509999999
KENNEDY FRIED CHICKEN,Chicken,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,37,BRONX,952,LONGWOOD AVE,10459,"952 LONGWOOD AVE, BRONX, New York City, 10459",40.817417 -73.89842120000003
GOLAN HEIGHTS,Jewish/Kosher,04M,Live roaches present in facility's food and/or non-food areas.,68,MANHATTAN,2553,AMSTERDAM AVENUE,10033,"2553 AMSTERDAM AVENUE, MANHATTAN, New York City, 10033",40.8515059 -73.92816849999997
BED-STUY FISH FRY,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",74,BROOKLYN,940,FULTON ST,11238,"940 FULTON ST, BROOKLYN, New York City, 11238",40.6824786 -73.96313220000002
KO-SUSHI JAPANESE RESTAURANT,Japanese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,62,MANHATTAN,1619,YORK AVENUE,10028,"1619 YORK AVENUE, MANHATTAN, New York City, 10028",40.7755296 -73.94777690000001
VINNY VINCENZ,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,60,MANHATTAN,231,1 AVENUE,10003,"231 1 AVENUE, MANHATTAN, New York City, 10003",40.7311787 -73.98309619999998
ASIAN YUMMY HOUSE,Chinese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,33,BROOKLYN,824,BROADWAY,11206,"824 BROADWAY, BROOKLYN, New York City, 11206",40.6991795 -73.93958559999999
59 CHINA,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,57,MANHATTAN,59,NASSAU ST,10038,"59 NASSAU ST, MANHATTAN, New York City, 10038",40.7092384 -74.00886270000001
NO.1 KITCHEN,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",75,MANHATTAN,265,1 AVENUE,10003,"265 1 AVENUE, MANHATTAN, New York City, 10003",40.7324094 -73.98212219999999
POPEYES LOUISIANA KITCHEN,Chicken,04M,Live roaches present in facility's food and/or non-food areas.,36,QUEENS,9215,PARSONS BOULEVARD,11433,"9215 PARSONS BOULEVARD, QUEENS, New York City, 11433",40.7030411 -73.7998571
GENESIS BAR & RESTAURANT,Irish,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,22,MANHATTAN,1708,2 AVENUE,10128,"1708 2 AVENUE, MANHATTAN, New York City, 10128",40.779408 -73.95026459999997
VICKI'S RESTAURANT  and  BAKERY,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,QUEENS,10216,43 AVENUE,11368,"10216 43 AVENUE, QUEENS, New York City, 11368",40.747122 -73.862142
HALAL COFFEE SHOP RESTAURANT,African,04M,Live roaches present in facility's food and/or non-food areas.,33,BRONX,1150,SHERMAN AVENUE,10456,"1150 SHERMAN AVENUE, BRONX, New York City, 10456",40.8323233 -73.91675859999998
ENCUENTRO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,QUEENS,3729,103RD ST,11368,"3729 103RD ST, QUEENS, New York City, 11368",40.7524919 -73.8637827
CAFE KITCHEN (CENTERPLATE CAFE AND KITCHEN),American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,42,MANHATTAN,655,WEST   34 STREET,10001,"655 WEST   34 STREET, MANHATTAN, New York City, 10001",40.7577771 -74.00259069999998
T. K. KITCHEN,Asian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,MANHATTAN,26,SAINT MARKS PLACE,10003,"26 SAINT MARKS PLACE, MANHATTAN, New York City, 10003",40.7287968 -73.98871270000001
HECTOR'S CAFE & DINER,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,58,MANHATTAN,44,LITTLE WEST   12 STREET,10014,"44 LITTLE WEST   12 STREET, MANHATTAN, New York City, 10014",40.7402558 -74.00838759999999
VILLA TAPIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,35,BRONX,245,BROOK AVENUE,10454,"245 BROOK AVENUE, BRONX, New York City, 10454",40.8081304 -73.91907459999999
ORIGINAL PUGLIA RISTORANTE ITALIANO,Italian,04M,Live roaches present in facility's food and/or non-food areas.,35,MANHATTAN,189,HESTER STREET,10013,"189 HESTER STREET, MANHATTAN, New York City, 10013",40.7182025 -73.99765330000002
SALSA CON FUEGO,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",32,BRONX,2297,CEDAR AVENUE,10468,"2297 CEDAR AVENUE, BRONX, New York City, 10468",40.8623691 -73.91142230000003
VYBES KITCHEN,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,BRONX,1296,GUNHILL ROAD,10469,"1296 GUNHILL ROAD, BRONX, New York City, 10469",40.8717066 -73.84916720000001
ANYWAY CAFE,Russian,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,42,MANHATTAN,34,EAST    2 STREET,10003,"34 EAST    2 STREET, MANHATTAN, New York City, 10003",40.7251674 -73.99048160000001
CIPURA,Turkish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,60,BROOKLYN,1901,EMMONS AVE,11235,"1901 EMMONS AVE, BROOKLYN, New York City, 11235",40.5838869 -73.9491251
LA BAMBA RESTAURANT & GRILL,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,18,QUEENS,4761,47 STREET,11377,"4761 47 STREET, QUEENS, New York City, 11377",40.73931990000001 -73.9183061
BASERA RESTAURANT,Pakistani,04M,Live roaches present in facility's food and/or non-food areas.,74,QUEENS,7414,37TH RD,11372,"7414 37TH RD, QUEENS, New York City, 11372",40.7472139 -73.89091259999998
BAREBURGER,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,MANHATTAN,313,W 57TH ST,10019,"313 W 57TH ST, MANHATTAN, New York City, 10019",40.7672671 -73.98345870000003
D.C.PLZZ SEAFOOD,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,71,BROOKLYN,770,59TH ST,11220,"770 59TH ST, BROOKLYN, New York City, 11220",40.636179 -74.00959999999998
SUNSET RIDGE DELI,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,BROOKLYN,5802,5 AVENUE,11220,"5802 5 AVENUE, BROOKLYN, New York City, 11220",40.6406624 -74.01533719999998
BOSS FOOD,Russian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,70,BROOKLYN,2896,W 12TH ST,11224,"2896 W 12TH ST, BROOKLYN, New York City, 11224",40.5769873 -73.97992679999999
